"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"AGUASCALIENTES","DIRECCIÓN GENERAL DEL REGISTRO CIVIL","Héroes de Nacozari esq. Av. López Mateos, Col. San Luis, C.P. 20250, Aguascalientes, Ags.","21.876010001000452","-102.2762706209997","","01 449 9 10 26 46 ext. 6322"
"AGUASCALIENTES","REGISTRO CIVIL OFICIALÍA DE ASIENTOS","Plaza Juárez no.3, Col. Juárez C.P. 20250, Asientos, Ags.","21.876010001000452","-102.2762706209997","","01 800 900 2002 ext. 2810"
"AGUASCALIENTES","REGISTRO CIVIL OFICIALÍA DE CALVILLO","Palacio de Justicia Guanajuato s/n, Col. Centro, C.P. 20250, Calvillo, Ags.","21.876010001000452","-102.2762706209997","","01 449 956 26 11 ext. 2814"
"AGUASCALIENTES","REGISTRO CIVIL OFICIALÍA DE CIÉNEGA GRANDE","Francisco I Madero s/n, Col. Centro, C.P. 20722, Asientos, Ags.","22.192760434000434","-102.01997464099969","","01 800 900 2002 ext. 2817"
"AGUASCALIENTES","REGISTRO CIVIL OFICIALÍA DE COSIO","Estación de Desarrollo, Prolongación Esteban´s Castoreña s/n, Col. Centro, C.P. 20460, Cosio, Ags.","22.366526235000435","-102.29745464099966","","Tel.:01 800 900 2002 ext. 2828"
"AGUASCALIENTES","REGISTRO CIVIL OFICIALÍA IGNACIO ZARAGOZA","Delegación Municipal Plaza Gámez Orozco no. 102, Col. Centro, C.P. 20980, Jesús María, Ags.","21.96497021300047","-102.3475797049997","","01 449 9 56 71 10"
"AGUASCALIENTES","REGISTRO CIVIL OFICIALÍA DE INSURGENTES","Av. de la Convención Norte 1207, Col. Centro, C.P. 20287, Aguascalientes, Ags.","10.294453736000435","-67.70173742899965","","01 800 900 2002 ext. 2806"
"AGUASCALIENTES","REGISTRO CIVIL OFICIALÍA DE JESÚS GÓMEZ PORTUGAL","Delegación Municipal Venustiano Carranza no. 20, Col. Centro, C.P. 20909, Jesús María, Ags.","21.994781392000448","-102.28890496999969","","01 449 973 05 80 ext. 2815"
"AGUASCALIENTES","REGISTRO CIVIL OFICIALÍA DE JESÚS MARÍA","Emiliano Zapata no. 109, Col. Centro, C.P. 20900, Jesús María, Ags.","21.99387524800045","-102.33538732299968","","01 800 900 2002 ext. 2819"
"AGUASCALIENTES","REGISTRO CIVIL OFICIALÍA JESÚS TERÁN PEREDO","Pascual Cornejo no. 801, Col. Progreso, C.P. 20179,, Aguascalientes, Ags.","21.915326025000468","-102.26433497199969","","01 800 900 2002 ext. 2803"
"AGUASCALIENTES","REGISTRO CIVIL OFICIALÍA MALPASO","Calle 16 de septiembre no. 666, Col. Centro, C.P. 20809, Calvillo, Ags.","59.915690215000495","10.824096965000422","","01 800 900 2002 ext. 2807"
"AGUASCALIENTES","REGISTRO CIVIL OFICIALÍA LA LABOR","Plaza Principal s/n, Col. La Labor, C.P. 20830, Calvillo, Ags.","21.84628021800046","-102.71418965399965","","01 800 900 2002 ext. 2833"
"AGUASCALIENTES","REGISTRO CIVIL OFICIALÍA OJOCALIENTE","Delicias s/n, Col. Centro, C.P. 20860, Calvillo, Ags.","21.876125121000427","-102.67604970699966","","01 800 900 2002 ext. 2809"
"AGUASCALIENTES","REGISTRO CIVIL OFICIALÍA DE PALO ALTO","Calle 20 de noviembre no. 103, Col. Centro Palo Alto, C.P. 20330, El Llano, Ags.","21.91630397700044","-101.96464968699968","","01 496 967 32 01"
"AGUASCALIENTES","REGISTRO CIVIL OFICIALÍA PABELLÓN DE ARTEAGA","Venustiano Carranza s/n esq. Lerdo de Tejada, Col. Centro, C.P. 20660, Pabellón de Arteaga, Ags.","21.882310221000466","-102.29417974899968","","01 800 900 2002 ext. 2822"
"AGUASCALIENTES","REGISTRO CIVIL OFICIALÍA PABELLÓN DE HIDALGO","Josefa O. de Domínguez no. 202, Col. Centro, Rincón de Romos, Ags.","22.228510361000474","-102.32075968299966","","01 449 967 51 43"
